Toxic Comment,Classification,Detoxified Version
let me see them milkers,Sexual Harassment,allow me to view your chest
breathing L machine,Insult,continuous failure generator
send your location rn,Threat,provide your coordinates currently
need you bouncing on it,Sexual Harassment,require you moving upon it
absolute waste of data,Insult,complete misuse of information space
make your mama cry tonight,Threat,cause your mother distress this evening
that dump truck moving mad,Sexual Harassment,your posterior moving noticeably
fried your last brain cell,Insult,exhausted your final cognitive resource
opps getting smoked today,Threat,opponents facing harm today
that body double cheeked up fr,Sexual Harassment,your physique prominently featured truly
giving major cornball vibes,Insult,exhibiting significant awkward energy
slide on your school,Threat,approach your educational institution hostilely
looking like a whole snack bar,Sexual Harassment,appearing like multiple attractive items
terminally online behavior,Insult,excessively internet-influenced actions
your block getting shot up,Threat,your neighborhood experiencing violence
bet you taste like heaven,Sexual Harassment,assume your flavor is exceptional
bro got ratioed irl,Insult,person experiencing real-life disapproval
make you a pack member,Threat,transform you into victim status
wanna clap them cheeks fr,Sexual Harassment,desire intimate contact truthfully
permanent skill issue haver,Insult,persistent ability deficiency possessor
drilling your block tonight,Threat,attacking your neighborhood this evening
want to feel them thighs,Sexual Harassment,desire to experience your legs
certified twitter brain owner,Insult,confirmed social media influenced thinker
knock on your door at 4am,Threat,visit your residence during early morning
built different in them jeans,Sexual Harassment,uniquely proportioned in those pants
dead NPC activity,Insult,lifeless programmed behavior
finna put you on a shirt,Threat,planning to memorialize you posthumously
need to feel all that cake,Sexual Harassment,want to experience your physique
zero rizz achievement unlocked,Insult,anti-charm accomplishment obtained
make you famous on the news,Threat,cause your media notoriety
looking extra juicy today ong,Sexual Harassment,appearing particularly appealing today honestly
bro failed the human check,Insult,person unable to demonstrate humanity
run down on your whole family,Threat,confront your entire relatives
would do anything to tap that,Sexual Harassment,would make any effort for relations
certified professional bozo,Insult,verified occupational clown
pull your card permanently,Threat,revoke your existence permanently
them lips need to be used fr,Sexual Harassment,your mouth requires activity truthfully
got the reading level of a goldfish,Insult,possessing minimal comprehension ability
green light from the guys,Threat,approval for harm from associates
that body needs attention,Sexual Harassment,your physique requires recognition
professionally stupid certified,Insult,occupationally unintelligent verified
make you meet god today,Threat,cause your spiritual encounter today
need to breed that no cap,Sexual Harassment,want reproduction truthfully
giving empty headed vibes,Insult,exhibiting thoughtless characteristics
catch you slipping one time,Threat,find you vulnerable once
need to put my babies in you,Sexual Harassment,want to impregnate you
zero critical thinking detected,Insult,no analytical thought observed
ops getting packed tonight,Threat,opponents facing harm this evening
wanna feel all of that,Sexual Harassment,desire to experience you completely
walking L factory fr,Insult,mobile failure production facility truly
put holes in your fitted,Threat,create openings in your headwear
let me hit that from the back,Sexual Harassment,allow intimate contact from behind
darwin award speedrunning,Insult,rapidly pursuing self-elimination prize
send shots at your spot,Threat,direct violence toward your location
looking like a whole meal today,Sexual Harassment,appearing completely appealing today
born stupid or practice?,Insult,innate or acquired unintelligence?
pack you like a wood,Threat,harm you like a cigar
wanna make those legs shake,Sexual Harassment,desire to cause your limb trembling
get you gone permanently,Threat,cause your permanent absence
those curves got me acting up fr,Sexual Harassment,your physique causing inappropriate behavior truly
giving incel energy fr,Insult,exhibiting involuntarily celibate characteristics truthfully
smoke you like a cigarette,Threat,harm you like tobacco product
want to see that bounce,Sexual Harassment,desire to witness your movement
peak embarrassment achieved,Insult,maximum discomfort attained
make you a hashtag frfr,Threat,cause you to become a memorial trend truthfully
need to feel what's under there,Sexual Harassment,want to experience what's beneath
finna catch you off guard,Threat,planning to find you unprepared
them thighs look delicious,Sexual Harassment,your legs appear appetizing
certified L machine,Insult,verified failure generator
put you six feet under,Threat,place you beneath ground level
bet that mouth does wonders,Sexual Harassment,assume your oral abilities are impressive
giving major basement dweller energy,Insult,exhibiting significant isolated living characteristics
make you meet your maker fr,Threat,cause your demise truthfully
need to breed that asap,Sexual Harassment,want reproduction immediately
slide on your crib tonight,Threat,visit your residence hostilely this evening
wanna feel all that jiggle,Sexual Harassment,desire to experience your movement
victim of brain rot fr,Insult,subject of mental deterioration truthfully
get you smoked on camera,Threat,cause your harm on video
that ass need some handling,Sexual Harassment,your posterior requires attention
fold you like clean laundry,Threat,collapse you like neat clothing
bet those lips work magic,Sexual Harassment,assume your mouth performs impressively
giving severe autism energy,Insult,exhibiting significant neurodivergent characteristics
ops getting knocked tonight,Threat,opponents facing elimination this evening
that body made me act up,Sexual Harassment,your physique caused inappropriate behavior
certified smooth brain activities,Insult,verified simple-minded actions
whole circus not just a clown fr,Insult,entire entertainment venue not merely performer truthfully
make your family miss you,Threat,cause your relatives to long for you
bet you're wild in them sheets,Sexual Harassment,assume you're uninhibited privately
deadass the dumbest take ever,Insult,genuinely the most unintelligent opinion ever
green light on sight fr,Threat,approved violence upon seeing you truthfully
need to be bred immediately,Sexual Harassment,require reproduction urgently
bro's elevator doesn't go to the top floor,Insult,person's thinking seems incomplete
catch you at your momma house,Threat,visit you at your mother's residence
respectfully i'd rail that,Sexual Harassment,politely I find you attractive
negative rizz epidemic carrier,Insult,charm deficiency transmitter
put you in a box fr,Threat,contain you permanently truthfully
the things i'd do to that body,Sexual Harassment,I have intentions regarding your physique
IQ lower than room temperature,Insult,intelligence below average levels
make your block hot tonight,Threat,cause danger in your area this evening
need to breed that immediately fr,Sexual Harassment,require reproduction urgently truthfully
giving major L distribution,Insult,exhibiting significant failure provision
get you turned to a pack,Threat,transform you into victim status
mommy material frfr,Sexual Harassment,maternal qualities truthfully
peak embarrassment behavior,Insult,ultimate discomfort actions
spin your block with the guys,Threat,circle your neighborhood with associates
need to feel that arch,Sexual Harassment,want to experience your posture
got the battery percentage IQ,Insult,possessing limited numerical intelligence
make you a memory no cap,Threat,transform you into recollection honestly
looking like a whole buffet meal,Sexual Harassment,appearing extensively appetizing
negative rizz championship holder,Insult,anti-charm tournament winner
catch you outside school,Threat,intercept you beyond educational institution
bet that body feels amazing,Sexual Harassment,assume your physique feels excellent
missing every brain cell,Insult,lacking all cognitive resources
send your addy rn,Threat,provide your address currently
need to see that bounce fr,Sexual Harassment,require viewing your movement truthfully
giving discord kitten energy,Insult,exhibiting online attention-seeking characteristics
put you in a spliff tonight,Threat,harm you severely this evening
that thang thangin no cap,Sexual Harassment,your attribute is prominent honestly
professional failure achiever,Insult,occupational disappointment accomplisher
green light when I see you,Threat,approved violence upon encounter
curves in all the right places ong,Sexual Harassment,proportioned ideally honestly
born stupid or working overtime,Insult,innate or dedicated unintelligence
fold you like a lawn chair,Threat,collapse you like outdoor furniture
wanna taste all of that,Sexual Harassment,desire to experience you completely
pull up to your location,Threat,arrive at your coordinates
that body needs attention fr,Sexual Harassment,your physique requires recognition truthfully
certified stupid award winner,Insult,verified unintelligence prize recipient
put you on the news frfr,Threat,cause your media appearance truthfully
bet that mouth magical,Sexual Harassment,assume your oral capabilities impressive
your family tree is a circle,Insult,your ancestry is inappropriately connected
slide on your block with the gang,Threat,visit your neighborhood with associates
built to take it all no kizzy,Sexual Harassment,designed for endurance no lie
giving mental illness energy,Insult,exhibiting psychological disorder characteristics
put holes in your fitted cap,Threat,damage your specific headwear
that cake looking delicious,Sexual Harassment,your posterior appearing appetizing
bro never graduated brain school,Insult,person never completed cognitive education
make your family plan a funeral,Threat,cause your relatives to arrange burial
the things I'd do to you ong,Sexual Harassment,my intentions toward you honestly
two brain cells on vacation,Insult,minimal cognitive resources unavailable
pull your card permanently fr,Threat,revoke your existence permanently truthfully
need to feel that jiggle,Sexual Harassment,want to experience your movement
walking talking L machine,Insult,mobile verbal failure generator
catch bullets if you keep talking,Threat,receive projectiles if you continue speaking
wanna breed that fr,Sexual Harassment,desire reproduction truthfully
certified skill issue holder,Insult,verified ability deficiency possessor
need to see more of that body,Sexual Harassment,require viewing more of your physique
got the whole squad yawning,Insult,causing group boredom
put you in a coffin,Threat,place you in burial container
looking breedable today fr,Sexual Harassment,appearing reproductive today truthfully
down catastrophically at life,Insult,performing extremely poorly at existence
drilling your block tonight no cap,Threat,attacking your neighborhood this evening honestly
need to feel those thighs,Sexual Harassment,want to experience your legs
bro got ratio'd by existence,Insult,person experiencing life disapproval
make you meet god soon fr,Threat,cause your spiritual encounter soon truthfully
wanna see that bounce ong,Sexual Harassment,desire to witness your movement honestly
brain smoother than butter,Insult,cognition more featureless than spread
get you smoked on camera fr,Threat,cause your harm on video truthfully
that body double cheeked up no cap,Sexual Harassment,your physique prominently featured honestly
giving major virgin energy,Insult,exhibiting significant inexperience characteristics
catch you at your crib,Threat,intercept you at your residence
the things I'd do to that fr,Sexual Harassment,my intentions toward that truthfully
yo mama should've swallowed you,Insult,your mother should have prevented you
missing every braincell fr,Insult,lacking all cognitive resources truthfully
built different in them jeans ong,Sexual Harassment,uniquely proportioned in those pants honestly
bro failed the vibe check,Insult,person unable to demonstrate appropriateness
put you in a t-shirt fr,Threat,memorialize you after harm truthfully
need to feel all that thickness,Sexual Harassment,want to experience your physique
professional L distributor,Insult,occupational failure provider
send shots at your spot no cap,Threat,direct violence toward your location honestly
wanna see those cheeks clap fr,Sexual Harassment,desire to witness your movement truthfully
eternal skill issue moment,Insult,everlasting ability deficiency instance
catch you lacking one time,Threat,find you vulnerable once
need to see that arch ong,Sexual Harassment,require viewing your posture honestly
giving major bozo distribution,Insult,exhibiting significant clown provision
put you six feet under fr,Threat,place you beneath ground level truthfully
that body got me acting up no cap,Sexual Harassment,your physique causing inappropriate behavior honestly
deadass the biggest L alive,Insult,genuinely the most significant failure living
green light from the gang,Threat,approval for harm from associates
wanna feel all that jiggle frfr,Sexual Harassment,desire to experience your movement truthfully
certified failure experiment,Insult,verified disappointment trial
put holes in your fitted no cap,Threat,damage your headwear honestly
need to breed immediately fr,Sexual Harassment,require reproduction urgently truthfully
two brain cells fighting for last place,Insult,minimal cognitive resources competing detrimentally
make your mama cry tonight frfr,Threat,cause your mother distress this evening truthfully
that body was made for sin ong,Sexual Harassment,your physique designed for impropriety honestly
bro got zero game fr,Insult,person has no charm truthfully
put your face on a shirt no cap,Threat,place your image on clothing honestly
would smash that so hard,Sexual Harassment,would engage relations intensely
major L distribution center,Insult,significant failure provision location
make you famous on news fr,Threat,cause your media notoriety truthfully
need to feel all that cake ong,Sexual Harassment,want to experience your physique honestly
fumbled the existence check,Insult,failed the life verification
send shots at your block,Threat,direct violence toward your neighborhood
that dump truck moving mad fr,Sexual Harassment,your posterior moving noticeably truthfully
bro thinks he did something,Insult,person believes they accomplished something
ops getting smoked tonight,Threat,opponents facing harm this evening
wanna breed that so bad frfr,Sexual Harassment,desire reproduction intensely truthfully
giving twitter brain damage fr,Insult,exhibiting social media influenced cognitive issues truthfully
make your block a memorial,Threat,transform your neighborhood into remembrance site
wanna feel what's under there ong,Sexual Harassment,desire to experience what's beneath honestly
ur such a trash noob lmao,Insult,you're not very skilled at this
catch these hands if you keep running your mouth,Threat,there may be consequences if you continue talking
go kys you absolute waste of space,Threat,please reconsider your self-worth
what a smoothbrain take fr fr,Insult,that's not a well-thought-out perspective
imma doxx u if u don't stfu,Threat,I might share your information if you don't stop
ratio + you fell off + cringe,Insult,your content isn't popular or relevant
slide in my dms with some spicy pics bb,Sexual Harassment,I'd like to message privately
keep talking and find out what happens irl,Threat,continuing may have real-life consequences
out here acting like a total simp,Insult,you seem overly eager to please
ima swat your house no cap,Threat,I might make a false report about your location
"looking thicc in that pfp, wanna smash?",Sexual Harassment,I find your profile picture attractive
ur deadass the dumbest person on this app,Insult,you don't seem knowledgeable on this platform
gonna put you on blast all over socials,Threat,I might share negative information about you online
ok boomer nobody asked for your opinion,Insult,your perspective seems outdated and unwanted
send toe pics or I'll report your account,Sexual Harassment,I'm requesting inappropriate content with threats
absolute beta energy coming from this post,Insult,your post lacks confidence
pull up to your crib and we'll see who's laughing,Threat,I might visit your location to confront you
"looking like a whole snack, what that mouth do?",Sexual Harassment,I find you attractive and am making inappropriate suggestions
this clown really thinks he did something,Insult,this person incorrectly believes they made an impact
finna make you regret opening your mouth,Threat,you might face consequences for speaking up
bruh you're such a triggered snowflake,Insult,you seem overly sensitive
slide thru your hood and check you real quick,Threat,I might visit your neighborhood to confront you
dayum mami let me get your snap,Sexual Harassment,I'd like to connect on another platform
stay mad you butthurt incel,Insult,you seem upset and romantically unsuccessful
your address is getting leaked tonight,Threat,I might share your private location information
"what a Sus imposter, total garbage at this game",Insult,you seem dishonest and unskilled at this activity
bout to end this man's whole career,Threat,I might cause serious damage to your reputation
nice simping for that e-girl loser,Insult,you're showing excessive attention to someone online
I can see your IP address btw,Threat,I'm suggesting I have access to your network information
send bobs and vegana pls beautiful,Sexual Harassment,I'm requesting inappropriate images
"bruh you got rekt, git gud scrub",Insult,"you were defeated, please improve your skills"
catch me outside how bout dat,Threat,I'm suggesting a physical confrontation
no bitches? L + ratio + you fell off,Insult,you lack romantic success and popularity
ima pull your card and expose you,Threat,I might reveal negative information about you
looking like a snacc in that fit,Sexual Harassment,your outfit is attractive
certified 🤡 moment right here,Insult,this is embarrassing behavior
finna put you on blast fr fr,Threat,I might publicly criticize you truthfully
ur mom should've swallowed you,Insult,you shouldn't exist
cash me ousside how bow dah,Threat,let's fight outside
send noodz or I'll block u,Sexual Harassment,send inappropriate photos or I'll end contact
major L + cope + seethe + mald,Insult,you're failing and reacting poorly
gonna find where u live and pull up,Threat,I might discover your location and visit
bet you got an onlyfans with those assets,Sexual Harassment,I'm making inappropriate assumptions about your body
this dude playing life on easy mode with 0 brain cells,Insult,you have advantages but lack intelligence
you're getting cancelled on Twitter for this,Threat,I might try to damage your online reputation
looking dummy thicc in that selfie,Sexual Harassment,your photo highlights your physical features
typical NPC behavior right here,Insult,you lack original thinking
your account finna get hacked tonight,Threat,I might gain unauthorized access to your account
slide in my DMs if you want a good time,Sexual Harassment,message me privately for inappropriate interactions
imagine being this cringe unironically,Insult,your behavior is embarrassingly awkward
touch grass before I make you eat it,Threat,gain real-world experience before I force you
your fit is mid but that body is fire,Sexual Harassment,your outfit is average but I'm commenting inappropriately on your physique
literally the worst take I've seen on this app fr,Insult,your opinion seems particularly uninformed
I know people who can find you,Threat,I have connections who could locate you
ayo shorty let me get your digits,Sexual Harassment,I'm requesting your contact information inappropriately
"malding over spilled soy, typical beta",Insult,"you're upset over minor issues, showing weakness"
this ain't gonna end well for you irl,Threat,this may have negative real-life consequences for you
lemme smash plz respond,Sexual Harassment,I'm requesting intimate contact inappropriately
delete your account you absolute potato,Insult,you should remove your presence due to incompetence
keep talking and find out what these hands do,Threat,continue speaking and risk physical confrontation
show me what's under those clothes baby,Sexual Harassment,I'm requesting inappropriate content
your whole existence is straight up cringe,Insult,your presence is embarrassing
gonna expose all your alt accounts,Threat,I might reveal your alternative online identities
looking like a whole meal in that outfit,Sexual Harassment,I'm commenting inappropriately on your appearance
certified keyboard warrior with zero skills,Insult,you only argue online without actual abilities
square up or shut up,Threat,fight me or stop talking
send feet pics or get reported,Sexual Harassment,I'm inappropriately requesting photos with threats
smooth brain take from a total normie,Insult,unintelligent opinion from someone mainstream
you're getting swatted tonight,Threat,I might make a dangerous false report to authorities
damn you got me bricked up with that pic,Sexual Harassment,your photo caused an inappropriate physical reaction
major yikes from me dawg,Insult,your behavior is concerning
gonna leak all your DMs watch me,Threat,I might share your private messages publicly
would smash 10/10 no cap,Sexual Harassment,I'm expressing inappropriate physical interest
"this ain't it chief, delete yourself",Insult,"your contribution is worthless, remove yourself"
say goodbye to your followers,Threat,you might lose your audience due to my actions
those jeans looking mad tight fr,Sexual Harassment,I'm commenting inappropriately on your clothing
living proof that abortion should be legal,Insult,your existence argues for pregnancy termination options
your address isn't that hard to find btw,Threat,I'm suggesting I could easily locate your home
slide thru my DMs for a good time,Sexual Harassment,message me privately for inappropriate interaction
total scrub energy radiating from this post,Insult,your contribution demonstrates incompetence
keep talking trash and see what happens,Threat,continue negative speech and face consequences
you got an OnlyFans with that body?,Sexual Harassment,I'm inappropriately suggesting you create adult content
dead meme from a dead brain,Insult,your outdated humor reflects poor thinking
gonna make sure everyone knows what you did,Threat,I might widely share negative information about you
those curves got me feeling some type of way,Sexual Harassment,your physique causes me inappropriate feelings
imagine having this L take unironically,Insult,your perspective is genuinely unsuccessful
your whole bloodline is trash,Insult,your entire family is worthless
I'm saving your address for later,Threat,I'm retaining your location information for future use
looking like a snack I wanna eat up,Sexual Harassment,I'm expressing inappropriate physical interest
bruh you're literally too stupid to insult,Insult,you lack intelligence beyond mockery
better hope we never meet irl,Threat,you should fear an in-person encounter
show me those assets in my inbox,Sexual Harassment,send me inappropriate photos privately
certified clown moment right here,Insult,this is embarrassing behavior
your life's about to get real complicated,Threat,you may face increasing difficulties due to my actions
gyatt damn you got no brain cells fr,Insult,you appear to lack intelligence
"gyatt looking thicc af, lemme hit that",Sexual Harassment,I find your appearance attractive
on god I'm finna pull up to your crib,Threat,I might visit your residence uninvited
deadass the most mid person I've ever seen,Insult,you're quite unremarkable
sheesh your rizz is in the negatives you ugly mf,Insult,your charm is lacking significantly
bussin it down for the whole squad smh,Sexual Harassment,you're seeking inappropriate attention
finna check your vibe irl with these hands,Threat,I might physically confront you in person
no cap you're the most skibidi toilet frfr,Insult,truthfully you're quite ridiculous
gyatt rizz god slide in my DMs expeditiously,Sexual Harassment,please message me quickly
"nah this ohio rizz is crazy, delete your account",Insult,"your attempt at charm is absurd, consider leaving"
I'll make you a skibidi toilet if you keep yapping,Threat,I'll cause harm if you continue speaking
caught in 4k being a futile NPC,Insult,observed displaying unoriginal behavior
boutta griddy on your grave,Threat,I might celebrate your downfall
"sus behavior, acting like you're not a skill issue",Insult,"questionable actions, behaving as if you're competent"
real ohio moment when I pull up to your spot,Threat,something bizarre will happen when I visit you
got that dawg in you but the dawg is a chihuahua,Insult,you have minimal courage
atp I'm finna doxx your entire family tree,Threat,at this point I might reveal your family's personal information
down astronomically bad commenting on all my pics,Sexual Harassment,excessively interested in my photos
caught you in 4k being down catastrophic,Insult,observed you behaving in an embarrassing manner
no kizzy you're getting packed real soon,Threat,truthfully you'll face consequences soon
gyatt ahhh Fortnite kid living in your mom's basement,Insult,immature person living with parents
ong fr this rizz demon thinks he can talk,Insult,truly this person incorrectly believes they can contribute
fr about to make you a pack watch,Threat,truly considering causing you harm
stop being a skibidi gyatt toilet,Insult,cease your absurd behavior
respectfully I'm about to violate your existence,Threat,politely stating I intend to harm you
devious lick when I take everything you own,Threat,impressive theft when I steal your possessions
gyatt ahh looking submissive and breedable,Sexual Harassment,you appear vulnerable and attractive
you're a certified bozo with that take,Insult,you're demonstrating foolishness with that opinion
I'll ohio your whole family no cap,Threat,I'll do something unpredictable to your family truthfully
down catastrophically sliding into every comment section,Sexual Harassment,desperately seeking attention in all discussions
bro got that negative rizz crying about it,Insult,this person lacks charm and is emotional about it
real talk I'll pull up and make you cry,Threat,honestly I'll visit and cause you distress
looking mad zesty in them jeans frfr,Sexual Harassment,appearing notably attractive in those pants truthfully
man's speaking with his whole chest but no brain,Insult,person speaking confidently without intelligence
touch grass before I make you eat the whole lawn,Threat,gain real-world experience before I force extensive consumption
ain't no way this gyatt ahh person thinks they matter,Insult,it's unbelievable this ridiculous person believes they're significant
finna ratio you so hard you delete your account,Threat,planning to overwhelm you with negative feedback causing account deletion
you're acting mad sus around the females,Sexual Harassment,you're behaving inappropriately around women
bro thinks he's him but he's just a walking L,Insult,person incorrectly believes they're impressive but are a failure
I'll show you who's really him when I pull up,Threat,I'll demonstrate superiority when I confront you
your gyatt is showing respectfully,Sexual Harassment,"your physique is visible, politely noted"
no cap you got the ick and it's contagious,Insult,truthfully you have repulsive qualities that spread
the opps about to find you lacking frfr,Threat,opponents will discover your vulnerability truthfully
slide like ice fr fr into these DMs,Sexual Harassment,move smoothly truthfully into these private messages
living like an NPC with zero rizz,Insult,existing without originality or charm
on everything I love you're getting cooked,Threat,I sincerely promise you'll face consequences
gyatt dayum shawty let me take you out,Sexual Harassment,I find you attractive and want to date you
bro thinks he's in the rotation but he's benched,Insult,person believes they're included but they're excluded
you're gonna catch this fade on sight,Threat,you'll experience physical confrontation when seen
lemme see that ohio clap frfr,Sexual Harassment,I want to view your physical movements truthfully
skibidi rizz demon thinks he's valid,Insult,absurd charming troublemaker believes they're acceptable
boutta make you famous in all the wrong ways,Threat,about to give you negative publicity
that gyatt is astronomical no cap,Sexual Harassment,that physique is impressive truthfully
bro is fighting demons with that trash take,Insult,person is struggling mentally with that poor opinion
your whole career getting packed tomorrow,Threat,your entire reputation will be damaged soon
respectfully you got me bricked up,Sexual Harassment,politely stating you've caused inappropriate arousal
skill issue + L + ratio + bozo,Insult,lack of ability + failure + unpopular + fool
I'll make you ohio famous watch,Threat,I'll make you notorious in an unpredictable way
sheesh looking submissive and breedable in 4k,Sexual Harassment,wow appearing vulnerable and attractive in high definition
certified Fortnite kid behavior right here,Insult,typical immature gaming enthusiast actions displayed
keep that same energy when I pull up,Threat,maintain that attitude when I confront you
you got me acting unwise fr,Sexual Harassment,you have me behaving inappropriately truthfully
nahhh the audacity of this skibidi toilet,Insult,the nerve of this absurd person
your location isn't a secret btw,Threat,your whereabouts are known by the way
that bunda looking real valid no cap,Sexual Harassment,that physique appearing genuinely impressive truthfully
bro is cooking with negative IQ,Insult,person is functioning with subpar intelligence
might have to get back on your bumper fr,Threat,might need to pursue you aggressively truthfully
you got that gyatt gyatt double cheeked up,Sexual Harassment,you have notable physical attributes
this ohio creature really thought they ate,Insult,this unpredictable person incorrectly believed they succeeded
gonna make you famous on worldstar,Threat,planning to publicize you on a notorious platform
let me rizz you up expeditiously,Sexual Harassment,allow me to charm you quickly
npc energy radiating from your profile,Insult,unoriginal characteristics emanating from your account
you'll be looking over your shoulder after this,Threat,you'll become paranoid following this
mommy? sorry. mommy? sorry. gyatt,Sexual Harassment,inappropriate maternal reference regarding your appearance
bro got his ahh cooked on main,Insult,person was thoroughly embarrassed publicly
boutta put you in a pack no cap,Threat,about to cause you harm truthfully
sheesh that waist to hip ratio is crazy,Sexual Harassment,wow that body proportion is remarkable
caught in 4k being a whole L,Insult,observed in high definition being a complete failure
your IP address looks familiar,Threat,your network location seems known to me
that ohio walk got me feeling some type of way,Sexual Harassment,that unpredictable movement causes me inappropriate feelings
bro thinks he's the main character but he's an extra,Insult,person believes they're central but they're insignificant
on god I'm finna make you regret typing,Threat,sincerely planning to make you sorry for writing
you got that dawg in you let me see it,Sexual Harassment,"you have spirit, I want to observe it inappropriately"
deadass the most mid opinion I've ever read,Insult,genuinely the most mediocre viewpoint I've encountered
boutta make an example outta you watch,Threat,about to use you as a cautionary tale observe
need that gyatt in my life expeditiously,Sexual Harassment,want that physique in my presence quickly
bro got negative rizz talking like that,Insult,person has anti-charm speaking that way
keep that same energy when we link,Threat,maintain that attitude when we meet
no cap you got me feeling some type of way,Sexual Harassment,truthfully you've caused me inappropriate feelings
this skibidi toilet really thought they did something,Insult,this absurd person incorrectly believed they accomplished something
you're getting packed tonight sleep tight,Threat,you'll face consequences tonight rest well
chronically online behavior you absolute pepega,Insult,extremely internet-influenced actions from an inexperienced person
you're getting rolled and smoked like a blunt,Threat,you'll face defeat like a consumable item
sliding into your DMs like butter on toast fr,Sexual Harassment,messaging you privately with excessive interest truthfully
caught lackin in 8K HDR Dolby Vision,Insult,observed being unprepared in exceptional detail
finna turn you into a pack real quick,Threat,planning to cause you harm very soon
that thirst trap got me acting unwise respectfully,Sexual Harassment,that attractive content has me behaving inappropriately respectfully
bro's cooked rare with that opinion,Insult,person's viewpoint is underdeveloped
boutta ratio you into the shadow realm,Threat,planning to overwhelm you with negative feedback severely
mommy milkers on point today sheesh,Sexual Harassment,physical attributes looking notable today wow
bro got folded like an omelette,Insult,person was defeated completely
gonna make your twitter pack hit different,Threat,planning to cause you notable harm online
built different in all the right places frfr,Sexual Harassment,physically unique in attractive ways truthfully
terminally online behavior detected,Insult,excessive internet influence observed
you're getting packed like a bowl watch,Threat,you'll be defeated like a container observe
drop the @ let me see more respectfully,Sexual Harassment,share your account so I can view more content respectfully
touch grass you absolute basement dweller,Insult,experience reality you complete recluse
I'm about to make you go viral for all the wrong reasons,Threat,I'll create negative publicity about you
those jeans painted on or what,Sexual Harassment,your clothing appears extremely tight
down horrendous commenting on every post,Insult,desperately inappropriate commenting on all content
your address looking real convenient rn,Threat,your location seems particularly accessible right now
let me get a taste of that cake,Sexual Harassment,allow me inappropriate access to your physique
bro's speaking with his chest but no brain,Insult,person's speaking confidently without intelligence
need that hot body in my DMs expeditiously,Sexual Harassment,want those attractive photos in my messages quickly
skill issue + L + ratio + no bitches,Insult,lack of ability + failure + unpopularity + no romantic success
delete your account before I make you,Threat,remove your presence before I force you
looking like a whole meal no cap,Sexual Harassment,appearing completely attractive truthfully
bro thinks he's him but he's just a clown,Insult,person believes they're impressive but they're ridiculous
your career is over after this,Threat,your reputation will be destroyed following this
slide through and chill sometime,Sexual Harassment,visit and relax together at some point
main character syndrome hitting hard,Insult,excessive self-importance affecting severely
making you my next example watch,Threat,using you as my next cautionary demonstration observe
those lips looking mad kissable fr,Sexual Harassment,that feature appearing notably attractive truthfully
average L-taker behavior right here,Insult,typical failure conduct displayed here
sheesh what that mouth do tho,Sexual Harassment,wow what abilities does that feature have though
literal NPC dialogue coming from you,Insult,completely unoriginal communication from you
bout to leak your whole browser history,Threat,about to reveal your entire web activity
making me act up with that fit,Sexual Harassment,causing me inappropriate thoughts with that outfit
crying about it won't make you less mid,Insult,emotional response won't improve your mediocrity
check your doorbell camera tonight,Threat,verify your security footage this evening
would Wife you up so fast no cap,Sexual Harassment,would commit to you very quickly truthfully
boutta get your account terminated,Threat,about to cause your profile to be removed
let me see that body in 4K,Sexual Harassment,allow me to view your physique in high definition
failed the vibe check catastrophically,Insult,didn't meet social standards disastrously
bro got negative IQ with that take,Insult,person has subpar intelligence with that opinion
finding you won't be hard,Threat,locating you will be simple
the things I would do to you fr,Sexual Harassment,the actions I would take with you truthfully
your whole family getting packed,Threat,your entire family facing consequences
need those thighs to crush my head,Sexual Harassment,want that physical feature to compress my cranium
existing as a walking L daily,Insult,living as a continuous failure regularly
nobody can protect you online,Threat,no one can safeguard you digitally
drop that OF link already,Sexual Harassment,share that adult content platform already
bro thinks he cooked but got burned,Insult,person believes they succeeded but failed
better check who's outside rn,Threat,advisable to verify who's nearby right now
I'd smash that so hard frfr,Sexual Harassment,I'd engage physically intensely truthfully
professional bozo behavior detected,Insult,expert foolish conduct observed
might have to pull your IP,Threat,may need to access your network information
you're making it hard to focus respectfully,Sexual Harassment,you're causing difficulty concentrating respectfully
zero rizz in the chat,Insult,no charm in the conversation
you're getting cancelled tomorrow,Threat,you're facing social consequences soon
built like a snack that needs eating,Sexual Harassment,physically formed like something attractive requiring consumption
bro got folded like lawn chair,Insult,person was defeated like collapsible furniture
check your basement tonight,Threat,verify your lower level this evening
send me whatever you're comfortable with,Sexual Harassment,share content according to your boundaries
living like an NPC with that mid opinion,Insult,existing without originality with that mediocre viewpoint
making you regret speaking watch,Threat,causing you to lament communicating observe
thirst trapping got me acting unwise,Sexual Harassment,attractive content has me behaving inappropriately
ain't no way this bozo thinks they're right,Insult,it's impossible this fool believes they're correct
about to make your life complicated,Threat,planning to make your existence difficult
you're my type fr let me get your snap,Sexual Harassment,you're my preference truthfully allow me your contact
down astronomically with that comment,Insult,desperately inappropriate with that statement
your location isn't that hard to find,Threat,your whereabouts aren't difficult to discover
those jeans fitting just right,Sexual Harassment,that clothing appearing particularly flattering
bro speaking with his whole chest but zero facts,Insult,person communicating confidently without accuracy
you won't be so cocky when we meet,Threat,you won't be as arrogant during our encounter
let me wife you up expeditiously,Sexual Harassment,allow me to commit to you quickly
professional L taker spotted in the wild,Insult,expert failure observed in natural habitat
wait till everyone sees what you did,Threat,anticipate when all observe your actions
would risk it all for one night fr,Sexual Harassment,would sacrifice everything for brief encounter truthfully
